userId,movieId,rating,timestamp
1,46,3.0,1260888981
1,18,5.0,1261664778
1,44,3.0,1261087947
1,32,1.5,1261032538
1,27,5.0,1261324894
1,16,4.0,1261232254
1,23,4.0,1261029936
1,17,5.0,1260964041
1,35,1.5,1261176113
1,9,3.0,1261407531
1,39,1.0,1261437843
1,57,1.0,1261015508
1,1,4.0,1260865530
1,59,2.5,1261219337
1,33,2.0,1261564889
1,2,3.5,1261523469
1,4,3.5,1260930829
1,29,4.0,1261748913
1,25,4.5,1261320353
1,8,4.0,1261709110
1,58,2.5,1261246879
2,15,3.0,1261231525
2,6,2.5,1260973020
2,23,1.5,1261683414
2,31,4.5,1261404914
2,20,1.5,1260977126
2,45,4.0,1261306707
2,27,3.0,1261528598
2,21,2.5,1260881096
2,36,4.5,1260869687
2,11,2.0,1261494716
2,44,4.5,1261732548
2,8,1.5,1261533684
2,58,3.0,1261083767
2,43,4.5,1261638858
2,16,3.0,1260802585
2,1,3.5,1261719061
2,41,5.0,1261285981
2,42,4.5,1261526595
2,10,1.0,1261725429
2,47,5.0,1261301335
2,38,5.0,1261167923
2,7,1.5,1261146261
2,22,1.0,1261411664
2,28,3.5,1260896848
2,40,5.0,1261338304
2,37,4.5,1261210269
2,50,3.5,1261509216
2,33,4.5,1260987576
3,17,3.5,1261440669
3,13,1.0,1260829467
3,9,1.0,1260868751
3,12,1.0,1261570774
3,47,5.0,1261127452
3,32,5.0,1261742237
3,4,1.5,1260869078
3,15,3.0,1261177400
3,14,3.0,1261369490
3,51,4.0,1260774708
3,8,2.5,1260892883
3,60,5.0,1261748586
3,2,2.0,1261510102
3,33,4.5,1261417271
3,50,4.0,1261160896
3,52,5.0,1260830295
3,48,4.5,1261032255
4,43,5.0,1261727911
4,45,5.0,1261289583
4,8,4.5,1261080184
4,31,3.5,1261427234
4,44,5.0,1261550971
4,6,5.0,1261737771
4,59,1.5,1261671495
4,27,3.0,1261496378
4,9,5.0,1261745001
4,60,3.0,1261402409
4,58,1.5,1261540474
4,34,3.5,1261395584
4,53,1.0,1260797467
4,7,4.5,1261636844
4,11,4.0,1260817871
5,52,1.0,1261170927
5,35,1.5,1260890373
5,30,5.0,1261218451
5,15,4.0,1260824726
5,24,4.5,1261027246
5,21,4.5,1261499674
5,20,4.0,1261448944
5,58,1.5,1261699597
5,25,5.0,1261204101
5,54,1.0,1260831991
5,34,2.0,1260777070
5,46,3.0,1260841074
5,28,4.5,1260935089
5,31,2.0,1261389152
5,19,5.0,1261257863
5,39,1.5,1261289089
5,4,4.0,1260994362
5,18,4.5,1261556079
5,57,2.5,1261239761
5,56,1.0,1261656059
5,55,2.0,1261023512
5,26,4.0,1260996549
6,47,5.0,1260942062
6,24,3.5,1260859235
6,30,3.5,1261612049
6,9,2.5,1261676230
6,37,4.5,1261422165
6,6,1.0,1260779056
